normalized_parcel,address,seismic_rows,rso_unit_count
5530-021-007,920   Curson Ave,1,9.0
5530-021-011,7571   Willoughby Ave,1,10.0
5530-021-016,921   Sierra Bonita Ave,1,6.0
5530-021-017,925   Sierra Bonita Ave,1,9.0
5530-021-021,941    Sierra Bonita Ave,1,8.0
5530-021-022,7554   Romaine St,1,12.0
5530-022-004,940    Stanley Ave,1,10.0
5530-022-005,936    Stanley Ave,1,8.0
5530-022-006,930    Stanley Ave,1,9.0
5530-022-007,924    Stanley Ave,1,10.0
5530-022-010,912    Stanley Ave,1,6.0
5530-022-012,900    Stanley Ave,1,12.0
5530-022-015,905    Curson Ave,1,20.0
5530-022-016,917   Curson Ave,1,19.0
5530-022-017,925   Curson Ave,1,10.0
5530-022-021,951    Curson Ave,1,12.0
5530-022-022,920    Stanley Ave,1,20.0
5530-023-002,7710   Romaine St,1,3.0
5530-023-003,942    Spaulding Ave,1,9.0
5530-023-004,938    Spaulding Ave,1,9.0
5530-023-005,930   Spaulding Ave,1,19.0
5530-023-007,920   Spaulding Ave,1,7.0
5530-023-008,910    Spaulding Ave,1,20.0
5530-023-017,929    Stanley Ave,1,8.0
5530-023-018,937    Stanley Ave,1,9.0
5530-023-022,7704   Romaine St,1,10.0
5530-024-001,950    Genesee Ave,1,12.0
5530-024-004,934   Genesee Ave,1,11.0
5530-024-006,924   Genesee Ave,1,10.0
5530-024-007,918   Genesee Ave,1,3.0
5530-024-009,912    Genesee Ave,1,8.0
5530-024-010,908    Genesee Ave,1,8.0
5530-024-011,900    Genesee Ave,1,12.0
5530-024-015,915    Spaulding Ave,1,10.0
5530-024-018,931   Spaulding Ave,1,9.0
5530-024-019,933    Spaulding Ave,1,3.0
5530-024-020,939    Spaulding Ave,1,2.0
5530-025-003,938    Ogden Dr,1,9.0
5530-025-004,932    Ogden Dr,1,4.0
5530-025-005,928    Ogden Dr,1,9.0
5530-025-008,914    Ogden Dr,1,10.0
5530-025-009,910    Ogden Dr,1,6.0
5530-025-012,901    Genesee Ave,1,12.0
5530-025-015,915    Genesee Ave,1,10.0
5530-025-016,919   Genesee Ave,1,8.0
5530-025-018,929   Genesee Ave,1,10.0
5530-025-019,935   Genesee Ave,1,10.0
5530-025-020,941    Genesee Ave,1,9.0
